PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_TM,PMNTN_RISK,PMNTN_RECO
47236,488605302,지리산_천왕봉,흥룡리구간,,1.03,1,31,,
19078,482201101,미륵산,영운리구간,,1.02,1,31,,
47594,481702801,집현산,도전리구간,,0.97,1,31,,
42249,488604701,월명산,,,1.02,1,31,,
37402,488604101,엄혜산,하정리구간,,1.02,1,31,,
22750,482201301,벽방산,,,1.03,1,31,,
45015,482401701,장령산,,,1.03,1,31,,
5021,481500301,광려산,,,1.04,1,31,,
51073,451803101,칠보산,보림리구간,,1.03,1,31,,
51078,451803101,칠보산,수청리구간,,1.03,1,31,,
16918,452100701,모악산,중인동구간,,1.02,1,31,,
16960,452100701,모악산,,,1.02,1,31,,
16848,451103301,모악산,상두리구간,,1.03,1,31,,
56581,451102601,황방산,효자동3가구간,,1.02,1,31,,
16797,451103301,모악산,항가리구간,,1.03,1,31,,
56607,451903901,황산,화수리구간,,1.02,1,31,,
41834,457104401,원등산,원등산 정상-다자이 마을구간,,1.02,1,31,난간 설치필요,
18078,457100801,묵방산,제천과수원구간,,1.04,1,31,등산로가 가파른 급경사로 오르내림,
30239,451902301,상산,,,1.04,1,31,,
49545,488605401,철마산,노은리구간,,1.02,1,31,,
41756,488604601,웅석봉,,,1.03,1,31,,
11488,488703901,대봉산,원산리구간,,0.97,1,31,,
5179,488700301,괘관산,원산리구간,,0.97,1,31,,
11447,488703901,대봉산,원산리구간,,1.02,1,31,,
11458,488703901,대봉산,광평리구간,,1.03,1,31,,
53931,457403101,합미봉,명덕리구간,,0.72,2,31,,
53931,457403101,합미봉,명덕리구간,,0.72,2,31,,
56480,488906401,황매산,상법리구간,,0.98,1,31,,
56481,488906401,황매산,상법리구간,,1.03,1,31,,
56513,488906401,황매산,법평리구간,신촌~성누곽,1.02,1,31,,
54196,488805301,현성산,수승대길구간,,1.02,1,31,,
53495,488807101,할미산,소야길구간,,1.04,1,31,,
35418,488803101,아홉산,원당길구간,,0.84,1,31,,
35442,488803101,아홉산,말흘리구간,,0.49,3,31,,
22184,488701601,백운산,,,1.03,1,31,,
14592,488602001,둔철산,안봉리구간,,1.03,1,31,,
53462,487204101,한우산,,,1.02,1,31,,
55165,487403301,화왕산,송현리구간,,1.03,1,31,,
33095,488808001,수도산,수재길구간,,1.02,1,31,,
28201,487204501,비룡산,정곡리구간,,1.03,1,31,,
